GEO_COD,N_INDIV_RESIDENT_N_LER_ESCRV,N_IND_RESIDENT_ENSINCOMP_1BAS,N_IND_RESIDENT_ENSINCOMP_2BAS,N_IND_RESIDENT_ENSINCOMP_3BAS,N_IND_RESIDENT_ENSINCOMP_SEC,N_IND_RESIDENT_ENSINCOMP_POSEC,N_IND_RESIDENT_ENSINCOMP_SUP,YEAR,
11063307602,1,8,6,17,25,1,101,[1996 - ],1
11063307603,0,10,7,8,19,1,107,[1996 - ],1
11063307701,0,3,7,18,24,2,138,[1996 - ],1
11063307702,0,18,16,17,41,2,127,[1996 - ],1
11063307801,1,22,20,25,44,3,201,[1996 - ],1
11063307802,0,0,0,0,0,0,0,[1996 - ],1
11063307803,0,0,0,0,0,0,0,[- 1945],0
11063307901,4,26,18,15,24,3,9,[1961 - 1995],1
11063307902,8,104,27,38,36,1,17,[1961 - 1995],1
11063307903,10,87,35,63,38,1,23,[1961 - 1995],1
11063308001,0,3,12,18,26,1,91,[1996 - ],1
11063308002,1,12,8,28,27,1,137,[1996 - ],1
11063308003,0,2,2,3,17,1,53,[1996 - ],1
11063308101,0,5,9,13,31,7,128,[1996 - ],1
11063308102,0,4,8,6,25,1,113,[1996 - ],1
11063308103,0,4,5,3,7,2,77,[1996 - ],1
11063308104,0,0,0,0,0,0,0,[- 1945],0
11063308105,0,0,0,0,6,0,21,[1996 - ],1
11063400101,3,4,0,0,3,0,2,[- 1945],0
11063400102,1,20,8,7,6,2,3,[- 1945],0
11063400103,5,42,9,12,17,4,15,[- 1945],0
11063400104,0,0,0,0,0,0,0,[- 1945],0
11063400105,2,7,4,1,0,0,4,[- 1945],0
11063400106,1,3,1,3,1,0,2,[- 1945],0
11063400107,1,12,3,4,10,0,3,[- 1945],0
11063400108,3,14,2,2,7,2,4,[- 1945],0
11063400109,1,4,1,3,2,1,4,[- 1945],0
11063400201,0,31,11,21,18,0,33,[- 1945],0
11063400202,0,4,4,6,7,0,7,[- 1945],0
11063400203,3,18,1,5,8,2,22,[- 1945],0
11063400204,3,22,11,17,18,1,29,[- 1945],0
11063500101,10,75,20,36,32,0,22,[- 1945],0
11063500102,7,38,13,24,15,1,4,[- 1945],0
11063500103,5,19,6,9,7,0,7,[- 1945],0
11063500201,16,63,24,25,19,2,6,[- 1945],0
11063500202,0,39,22,27,26,2,9,[- 1945],0
11063500203,12,101,41,60,54,4,32,[- 1945],0
11063500301,0,0,0,0,0,0,0,[- 1945],0
11063500302,11,75,23,24,18,1,13,[- 1945],0
11063500401,4,10,3,10,7,4,10,[1961 - 1995],1
11063500402,6,16,7,12,3,0,8,[1961 - 1995],1
11063500403,5,52,22,32,41,3,81,[1946 - 1960],0
11063500501,4,39,17,24,48,2,88,[1946 - 1960],0
11063500502,0,32,15,23,32,1,56,[1946 - 1960],0
11063500601,6,92,45,67,65,5,76,[1946 - 1960],0
11063500602,1,19,6,17,21,0,69,[1961 - 1995],1
11063500701,11,57,19,34,31,3,10,[- 1945],0
11063500702,3,44,14,41,40,1,52,[- 1945],0
11063500801,27,49,18,24,11,0,8,[- 1945],0
11063500802,2,8,2,3,1,0,3,[- 1945],0
11063500803,0,18,15,18,24,2,17,[1946 - 1960],0
11063500901,5,44,10,25,41,4,54,[1946 - 1960],0
11063500902,2,27,8,34,33,2,64,[- 1945],0
11063501001,3,43,20,27,37,4,87,[1961 - 1995],1
11063501002,3,32,9,33,27,3,58,[1946 - 1960],0
11063501101,3,17,20,30,23,1,60,[- 1945],0
11063501102,0,25,11,14,29,2,35,[1946 - 1960],0
11063501103,2,27,13,28,31,3,44,[1961 - 1995],1
11063501201,0,0,0,0,0,0,0,[- 1945],0
11063501202,15,88,34,27,7,0,0,[1996 - ],1
11063501203,0,0,0,0,0,0,0,[- 1945],0
11063501204,31,140,69,71,18,2,3,[1996 - ],1
11063501301,4,30,24,36,33,3,85,[1961 - 1995],1
11063501302,1,41,18,26,30,2,63,[1961 - 1995],1
11063501401,1,11,8,6,13,0,41,[- 1945],0
11063501402,2,41,16,30,22,0,55,[1961 - 1995],1
11063501403,4,33,20,41,40,2,77,[- 1945],0
11063501501,4,39,19,17,35,2,83,[- 1945],0
11063501502,1,36,18,39,56,4,60,[- 1945],0
11063501601,4,32,15,15,34,0,48,[1946 - 1960],0
11063501602,3,48,25,43,57,5,92,[1946 - 1960],0
11063501701,2,22,14,19,32,3,65,[1946 - 1960],0
11063501702,4,34,23,43,37,2,59,[- 1945],0
11063501801,10,42,17,29,29,3,80,[1961 - 1995],1
11063501802,2,27,3,20,24,4,59,[1961 - 1995],1
11063501803,1,29,10,26,31,2,65,[1961 - 1995],1
11063501901,3,20,16,29,39,3,64,[1961 - 1995],1
11063501902,3,19,14,27,30,1,56,[- 1945],0
11063501903,3,26,10,35,38,3,74,[- 1945],0
11063502001,3,35,20,41,38,0,78,[- 1945],0
11063502002,3,13,9,35,30,3,59,[- 1945],0
11063502003,1,12,14,26,34,2,68,[- 1945],0
11063502101,5,40,9,16,5,0,2,[1946 - 1960],0
11063502102,5,18,8,6,6,0,1,[- 1945],0
11063502103,3,29,13,30,33,0,36,[1961 - 1995],1
11063502104,2,25,13,12,5,0,1,[1961 - 1995],1
11063502201,1,22,13,23,16,1,21,[1946 - 1960],0
11063502202,10,80,25,42,50,6,73,[- 1945],0
11063502301,3,20,13,25,33,2,64,[- 1945],0
11063502302,5,60,26,42,53,4,89,[- 1945],0
11063502401,4,28,18,26,47,2,73,[1961 - 1995],1
11063502402,3,29,3,16,27,3,66,[1961 - 1995],1
11063502501,3,29,13,20,38,2,81,[1946 - 1960],0
11063502502,4,53,35,56,82,4,152,[1946 - 1960],0
11063502601,7,58,34,35,29,3,38,[1961 - 1995],1
11063502602,8,66,28,40,40,2,61,[1961 - 1995],1
11063502701,36,151,77,70,29,2,2,[1996 - ],1
11063502702,7,55,19,32,7,4,1,[- 1945],0
11063502703,1,14,8,5,3,0,0,[- 1945],0
11063502801,2,152,43,105,121,8,238,[- 1945],0
11063502901,0,0,0,0,0,0,0,[- 1945],0
11063502902,4,30,17,39,40,1,60,[1946 - 1960],0
11063502903,0,0,0,0,0,0,1,[1946 - 1960],0
11063502904,2,48,23,44,40,0,87,[- 1945],0
11063503001,3,71,40,82,87,5,191,[1961 - 1995],1
11063503101,4,62,20,22,21,1,3,[1961 - 1995],1
11063503102,1,21,10,5,1,1,0,[1946 - 1960],0
11063503103,6,37,5,13,14,0,11,[1961 - 1995],1
11063503201,4,62,36,54,86,2,200,[1961 - 1995],1
11063600101,9,47,20,36,28,2,39,[- 1945],0
11063600102,4,37,17,19,20,4,21,[- 1945],0
11063600201,3,15,6,9,10,1,16,[- 1945],0
11063600202,4,30,13,23,21,0,20,[- 1945],0
11063600203,5,23,14,13,7,0,19,[- 1945],0
11063600204,3,9,7,2,10,1,11,[- 1945],0
11063600301,0,0,0,0,0,0,0,[- 1945],0
11063600302,0,0,0,0,0,0,0,[- 1945],0
11063600303,9,36,14,26,19,4,34,[- 1945],0
11063600304,1,4,0,4,1,0,3,[- 1945],0
11063600305,0,8,2,5,3,0,1,[- 1945],0
11063600306,2,3,4,1,2,0,3,[- 1945],0
11063600307,3,7,3,2,0,0,3,[- 1945],0
11063600308,2,4,0,1,5,0,3,[- 1945],0
11063600309,1,32,7,12,15,2,8,[- 1945],0
11063600310,0,0,0,1,0,0,4,[- 1945],0
11063600401,0,0,0,0,0,0,0,[- 1945],0
11063600402,1,4,2,4,1,1,6,[- 1945],0
11063600403,3,13,8,2,5,1,6,[- 1945],0
11063600404,2,19,5,3,6,1,14,[- 1945],0
11063600405,0,5,2,0,0,0,3,[- 1945],0
11063600406,0,0,2,1,0,0,1,[- 1945],0
11063600407,0,0,0,0,0,0,0,[- 1945],0
11063600408,4,7,0,7,6,0,6,[- 1945],0
11063600409,1,13,1,6,4,1,4,[- 1945],0
11063600410,0,3,1,2,1,0,1,[- 1945],0
11063600411,0,0,0,0,0,0,0,[- 1945],0
11063600501,4,15,2,4,7,0,3,[- 1945],0
11063600502,0,2,1,1,0,0,0,[- 1945],0
11063600503,3,32,7,8,6,2,18,[- 1945],0
11063600504,4,32,7,7,5,0,11,[- 1945],0
11063600505,0,0,0,0,0,0,0,[- 1945],0
11063600506,3,8,4,3,2,0,1,[- 1945],0
11063600507,2,26,6,9,1,0,3,[- 1945],0
11063600508,0,7,4,2,1,0,1,[- 1945],0
11063600509,0,2,0,1,4,0,0,[- 1945],0
11063600510,0,0,0,0,0,0,0,[- 1945],0
11063700101,0,7,6,8,16,2,44,[- 1945],0
11063700102,7,42,21,26,46,3,79,[- 1945],0
11063700103,6,12,7,4,11,0,11,[- 1945],0
11063700104,2,20,13,29,19,1,15,[- 1945],0
11063700105,3,17,8,5,12,0,13,[- 1945],0
11063700201,0,13,4,5,10,0,22,[- 1945],0
11063700202,3,46,11,30,42,0,26,[- 1945],0
11063700203,2,18,9,15,10,0,14,[- 1945],0
11063700204,5,30,16,13,14,0,17,[- 1945],0
11063700205,2,19,9,11,9,1,10,[- 1945],0
11063700301,4,32,10,19,27,2,94,[- 1945],0
11063700302,8,26,9,11,9,0,19,[- 1945],0
11063700303,7,57,9,25,25,4,46,[- 1945],0
11063700401,7,35,14,18,16,1,22,[- 1945],0
11063700402,7,48,13,21,25,3,44,[- 1945],0
11063700403,8,35,15,29,30,3,15,[- 1945],0
11063700501,3,26,15,25,33,3,75,[- 1945],0
11063700502,2,12,7,8,10,1,15,[- 1945],0
11063700503,1,34,13,22,28,0,84,[- 1945],0
11063700601,4,25,10,8,4,0,17,[- 1945],0
11063700602,2,30,12,13,12,1,17,[- 1945],0
11063700603,6,29,24,16,15,0,7,[- 1945],0
11063700604,2,4,1,1,4,0,16,[- 1945],0
11063700605,0,0,0,4,3,0,5,[- 1945],0
11063700606,4,16,15,24,18,1,36,[- 1945],0
11063700701,1,12,9,13,16,2,45,[- 1945],0
11063700702,5,22,11,16,20,1,26,[- 1945],0
11063700703,0,12,6,11,18,0,32,[- 1945],0
11063700704,1,12,2,10,9,1,19,[- 1945],0
11063700705,0,15,8,5,16,1,25,[- 1945],0
11063700706,0,1,0,3,0,0,4,[- 1945],0
11063700707,0,0,3,1,0,0,0,[- 1945],0
11063700708,0,0,0,0,0,0,0,[- 1945],0
11063700801,5,31,7,18,22,1,39,[- 1945],0
11063700802,5,41,18,31,26,5,78,[- 1945],0
11063700803,2,7,8,6,20,0,34,[- 1945],0
11063700804,5,28,8,12,13,0,27,[- 1945],0
11063800101,4,17,5,14,21,0,5,[- 1945],0
11063800102,5,31,5,14,14,4,11,[- 1945],0
11063800103,0,2,1,0,0,0,0,[- 1945],0
11063800104,5,33,13,16,10,3,6,[- 1945],0
11063800105,1,8,0,4,1,0,6,[- 1945],0
11063800106,3,17,2,6,5,1,3,[- 1945],0
11063800201,0,12,7,13,14,1,46,[- 1945],0
11063800202,5,65,22,28,24,5,44,[1946 - 1960],0
11063800203,2,10,4,10,10,2,1,[1946 - 1960],0
11063800301,4,13,3,10,1,0,1,[- 1945],0
11063800302,0,4,0,0,1,0,0,[- 1945],0
11063800303,2,8,5,4,3,2,7,[- 1945],0
11063800304,0,13,1,7,6,0,4,[- 1945],0
11063800305,0,19,8,5,8,1,11,[- 1945],0
11063800306,7,42,14,21,25,1,18,[- 1945],0
11063800307,0,5,8,9,2,2,6,[- 1945],0
11063800401,0,0,1,0,3,0,4,[- 1945],0
11063800402,3,15,3,5,5,0,12,[- 1945],0
11063800403,2,10,4,1,1,0,0,[- 1945],0
11063800404,2,11,7,6,7,0,10,[- 1945],0
11063800405,2,14,3,3,2,0,6,[1946 - 1960],0
11063800406,0,0,0,0,0,0,0,[- 1945],0
11063800407,1,19,1,1,4,0,4,[1946 - 1960],0
11063800408,2,9,3,6,11,0,26,[1946 - 1960],0
11063800409,1,13,4,4,5,0,14,[1946 - 1960],0
11063900101,0,0,0,0,0,0,0,[1996 - ],1
11063900102,0,26,11,27,27,1,81,[1946 - 1960],0
11063900103,0,6,7,14,28,1,109,[1961 - 1995],1
11063900201,0,13,19,34,50,2,112,[1996 - ],1
11063900202,1,28,16,37,67,5,224,[1996 - ],1
11063900301,1,51,23,36,51,3,123,[1961 - 1995],1
11063900302,0,1,7,7,22,0,87,[1996 - ],1
11063900401,3,66,25,90,97,6,200,[1961 - 1995],1
11063900501,7,22,7,12,8,0,7,[1961 - 1995],1
11063900502,8,27,8,23,10,1,2,[1961 - 1995],1
11063900503,7,38,21,22,9,0,6,[1961 - 1995],1
11063900504,7,16,6,13,8,1,3,[1961 - 1995],1
11063900505,8,20,3,10,3,1,2,[1961 - 1995],1
11063900506,2,26,36,49,89,3,310,[1961 - 1995],1
11063900601,2,24,4,23,33,1,90,[1961 - 1995],1
11063900602,1,20,8,19,26,0,65,[1961 - 1995],1
11063900603,1,7,6,15,12,2,49,[1961 - 1995],1
11063900604,2,13,7,12,9,2,44,[1961 - 1995],1
11063900701,0,16,29,30,41,3,179,[1996 - ],1
11063900702,18,84,26,24,26,1,15,[1961 - 1995],1
11063900703,2,47,42,60,88,9,248,[1996 - ],1
11063900801,2,22,5,8,14,0,23,[1946 - 1960],0
11063900802,1,18,9,10,18,0,23,[1946 - 1960],0
11063900803,0,14,5,15,11,0,22,[1946 - 1960],0
11063900804,1,17,6,18,16,0,17,[1946 - 1960],0
11063900901,0,0,0,0,0,0,0,[- 1945],0
11063900902,0,0,0,0,0,0,0,[- 1945],0
11063900903,1,25,21,49,77,4,208,[1961 - 1995],1
11063900904,0,23,43,36,57,1,318,[1996 - ],1
11063900905,0,3,5,4,13,0,73,[1996 - ],1
11063901001,0,30,12,27,42,1,112,[1961 - 1995],1
11063901002,2,7,5,10,16,0,37,[1961 - 1995],1
11063901003,0,11,6,12,13,1,56,[1961 - 1995],1
11063901101,0,39,17,35,72,6,193,[1961 - 1995],1
11063901102,0,8,6,10,15,2,73,[1961 - 1995],1
11063901201,1,19,21,44,56,5,184,[1961 - 1995],1
11063901202,2,16,7,30,36,1,64,[1961 - 1995],1
11063901301,0,18,22,30,55,4,213,[1996 - ],1
11063901302,2,45,41,72,109,4,358,[1996 - ],1
11063901401,2,48,20,44,67,2,134,[1961 - 1995],1
11063901501,4,45,37,44,94,5,196,[1996 - ],1
11063901601,0,2,7,15,36,6,120,[1996 - ],1
11063901602,39,106,69,59,43,1,23,[1996 - ],1
11063901603,0,19,8,18,40,2,153,[- 1945],0
11063901701,0,0,0,0,0,0,0,[- 1945],0
11063901702,1,26,13,33,40,6,149,[1961 - 1995],1
11063901703,1,12,7,16,33,0,86,[1961 - 1995],1
11063901801,3,50,44,61,104,1,336,[1996 - ],1
11063901901,0,13,16,19,31,1,117,[1961 - 1995],1
11063901902,2,15,21,33,47,2,182,[1996 - ],1
11063902001,0,9,7,22,30,1,96,[1961 - 1995],1
11063902002,1,17,9,31,33,3,101,[1961 - 1995],1
11063902003,0,8,9,23,34,2,129,[1961 - 1995],1
11063902101,0,0,0,0,0,0,0,[- 1945],0
11063902102,1,24,23,28,55,3,291,[1996 - ],1
11063902103,0,27,17,27,40,3,174,[1961 - 1995],1
11063902201,0,0,0,0,0,0,0,[- 1945],0
11063902202,4,16,3,5,1,0,0,[- 1945],0
11063902203,0,11,19,45,66,2,241,[1961 - 1995],1
11063902204,3,6,4,6,5,0,1,[- 1945],0
11063902301,0,0,0,0,0,0,0,[1996 - ],1
11063902302,0,33,42,38,69,1,205,[1996 - ],1
11063902401,1,25,13,44,53,4,152,[1961 - 1995],1
11063902501,4,55,50,92,141,9,387,[1961 - 1995],1
11063902502,0,12,17,17,38,2,129,[1996 - ],1
11063902601,9,57,41,62,131,7,252,[1961 - 1995],1
11063902701,3,40,16,31,64,2,150,[1961 - 1995],1
11063902702,0,18,16,30,49,3,150,[1961 - 1995],1
11063902801,0,1,0,1,3,1,12,[1996 - ],1
11063902802,0,0,4,9,19,0,64,[1996 - ],1
11063902901,1,4,1,5,3,0,18,[- 1945],0
11063903001,2,77,30,67,125,8,336,[1961 - 1995],1
11063903101,2,17,12,12,13,0,40,[- 1945],0
11063903102,0,6,8,3,16,0,53,[1996 - ],1
11063903103,3,47,8,21,19,3,47,[- 1945],0
11063903104,1,12,16,21,29,1,137,[1961 - 1995],1
11063903201,0,2,7,14,22,1,73,[1961 - 1995],1
11063903301,2,92,38,106,164,4,283,[1961 - 1995],1
11063903401,4,43,32,74,111,3,312,[1961 - 1995],1
11063903501,11,115,49,94,91,5,183,[1946 - 1960],0
11063903601,8,98,33,69,80,5,139,[1961 - 1995],1
11063903701,3,96,38,87,90,5,214,[1961 - 1995],1
11063903801,1,47,12,29,25,0,48,[1946 - 1960],0
11063903802,2,41,20,34,48,2,125,[- 1945],0
11063903901,4,18,8,43,31,1,54,[1946 - 1960],0
11063903902,1,22,9,13,10,0,24,[- 1945],0
11063903903,4,23,8,9,12,0,8,[- 1945],0
11063904001,0,1,1,0,0,0,0,[1946 - 1960],0
11063904002,8,52,12,17,38,3,42,[- 1945],0
11063904003,2,21,25,59,51,4,113,[1961 - 1995],1
11063904004,5,50,17,35,67,1,55,[1946 - 1960],0
11063904101,2,15,18,46,58,9,145,[1961 - 1995],1
11063904102,0,16,6,33,18,0,16,[1961 - 1995],1
11063904201,7,78,24,63,50,3,53,[1946 - 1960],0
11063904301,2,18,9,26,36,1,151,[1961 - 1995],1
11063904302,0,0,0,0,0,0,0,[- 1945],0
11063904303,0,2,0,5,5,2,19,[1946 - 1960],0
11063904304,0,24,27,49,71,8,257,[1961 - 1995],1
11063904401,8,97,42,56,81,3,109,[1961 - 1995],1
11063904501,6,92,45,46,77,3,136,[1961 - 1995],1
11063904601,2,115,47,79,109,4,200,[1961 - 1995],1
11063904701,3,48,31,55,60,4,81,[- 1945],0
11063904702,1,6,3,1,6,0,7,[- 1945],0
11063904801,3,48,30,63,74,7,144,[1961 - 1995],1
11063904901,4,79,34,60,69,6,108,[1961 - 1995],1
11063905001,10,102,40,85,95,1,142,[1946 - 1960],0
11063905101,2,77,30,61,101,4,160,[1961 - 1995],1
11063905201,3,35,14,23,19,0,30,[1946 - 1960],0
11063905202,2,52,18,42,69,3,76,[1946 - 1960],0
11063905301,9,79,27,60,50,2,90,[1946 - 1960],0
11063905401,9,95,41,77,84,5,127,[1946 - 1960],0
11063905402,2,24,12,24,25,1,57,[1961 - 1995],1
11063905501,1,37,33,17,27,3,19,[1946 - 1960],0
11063905601,8,71,22,49,54,0,61,[1946 - 1960],0
11063905602,0,13,5,17,14,2,20,[1946 - 1960],0
11063905603,0,14,7,12,9,1,7,[1961 - 1995],1
11063905701,0,0,0,0,0,0,0,[- 1945],0
11063905702,0,22,10,19,28,1,70,[- 1945],0
11063905703,2,23,17,32,33,4,97,[1961 - 1995],1
11063905801,14,78,32,51,39,1,69,[1961 - 1995],1
11063905802,11,74,30,37,25,0,5,[1961 - 1995],1
11063905901,1,20,12,14,16,0,18,[1961 - 1995],1
11063905902,13,39,9,15,17,0,8,[1961 - 1995],1
11063905903,11,36,18,13,12,1,6,[1961 - 1995],1
11063905904,9,57,34,45,35,3,29,[1961 - 1995],1
11063905905,5,23,30,19,8,0,2,[1961 - 1995],1
11063905906,3,23,11,17,7,1,3,[1961 - 1995],1
11063906001,7,53,30,36,16,2,8,[1961 - 1995],1
11063906002,1,18,4,10,10,0,2,[1961 - 1995],1
11063906003,12,65,25,41,36,3,24,[1961 - 1995],1
11063906004,2,4,4,6,8,0,25,[- 1945],0
11063906005,5,35,16,34,21,1,11,[1961 - 1995],1
11063906006,0,4,2,3,1,0,1,[1961 - 1995],1
11063906007,3,10,1,4,1,0,0,[1961 - 1995],1
11063906008,6,23,8,14,8,0,4,[1961 - 1995],1
11063906101,0,0,0,0,0,0,0,[1961 - 1995],1
11063906102,4,24,13,41,46,2,110,[1961 - 1995],1
11063906103,1,11,9,39,23,0,58,[1961 - 1995],1
11063906201,4,23,10,16,29,3,63,[- 1945],0
11063906202,3,34,20,33,48,1,88,[1961 - 1995],1
11064000101,0,10,3,3,2,0,17,[1946 - 1960],0
11064000102,0,1,0,1,0,0,1,[1961 - 1995],1
11064000103,0,5,0,4,5,0,12,[1946 - 1960],0
11064000104,1,26,21,51,52,3,222,[1961 - 1995],1
11064000201,3,12,2,12,16,1,11,[1961 - 1995],1
11064000202,8,49,8,26,26,0,38,[1961 - 1995],1
11064000203,0,3,2,2,5,0,11,[1946 - 1960],0
11064000204,2,10,4,5,5,0,3,[1946 - 1960],0
11064000205,1,3,5,10,6,0,19,[1946 - 1960],0
